Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
6535.344,13,60,2555,78913,631,66,196.53846153846155,1514,66,1315.2166666666667,12465.75543689819541251386308,11.17003175349300664203751172,520,2400,1.989183736923412141732707567,9.180848016569594500304804154,66,1514,1116,612.0129598412917,374559.8630136986,0.5446020833333333333333333333,0.1107665762711864406779661017,0,0.08952526027397260273972602740,BENIGN
6534.652,15,11,3288,1572,639,66,219.2,194,66,142.9090909090909,743.7274395025167369279955536,3.978788771001118345705326007,600,440,2.295455060192952891753072696,1.683333710808165453952253311,66,639,186.92307692307693,198.55166409176599,39422.763313609474,0.4667547857142857142857142857,0.6534504,0,0.2513327692307692307692307692,BENIGN
294.407,1,1,90,90,90,90,90,90,90,90,611.3985061496499743552293254,6.793316734996110826169214727,28,28,3.396658367498055413084607363,3.396658367498055413084607363,90,90,90,0,0,0,0,0,0.1472035,BENIGN
42800.219,72,81,6751,34431,153,54,93.76388888888889,1434,54,425.0740740740741,962.1913383200212129755691203,3.574748063789112854773009456,2880,3240,1.682234382959582519893180920,1.892513680829530334879828535,54,1434,269.16339869281046,393.48912596806986,154833.69225511554,0.6022280845070422535211267606,0.534993775,0,0.2797399934640522875816993464,BENIGN
45075.181,2,2,110,132,55,55,55,66,66,66,5.368808169622214051675133595,0.08874063090284651325082865447,80,80,0.04437031545142325662541432723,0.04437031545142325662541432723,55,66,60.5,5.5,30.25,45.038312,45.048787,0,11.26879525,BENIGN
39513.968,7,2,379,120,55,54,54.142857142857146,66,54,60,12.62844571823310683452494571,0.2277675580442844920054599427,280,80,0.1771525451455546048931355110,0.05061501289872988711232443170,54,66,55.44444444444444,3.7449554547450483,14.024691358024691,6.536415166666666666666666667,10.018117,0,4.390440888888888888888888889,BENIGN
45106.807,2,2,110,132,55,55,55,66,66,66,5.365043905679247036927264659,0.08867841166411978573433495304,80,80,0.04433920583205989286716747652,0.04433920583205989286716747652,55,66,60.5,5.5,30.25,45.051929,45.059882,0,11.27670175,BENIGN
45596.33,8,2,434,132,55,54,54.25,66,66,66,12.41327975299766450501608353,0.2193158966960718110426869882,320,80,0.1754527173568574488341495905,0.04386317933921436220853739764,54,66,56.6,4.715930449020639,22.24,6.471521857142857142857142857,45.298236,0,4.559633,BENIGN
50372.157,6,7,1222,522,872,54,203.66666666666666,135,54,74.57142857142857,34.62230136382684585057574564,0.2580790812670579105834201224,240,280,0.1191134221232574971923477488,0.1389656591438004133910723736,54,872,134.15384615384616,214.2998783709932,45924.43786982248,10.018646,8.348661,0,3.874781307692307692307692308,BENIGN
1665.73,4,3,298,329,78,70,74.5,157,78,109.66666666666667,376.4115432873274780426599749,4.202361727290737394415661602,112,84,2.401349558451849939666092344,1.801012168838887454749569258,70,157,89.57142857142857,28.434672712111496,808.5306122448981,0.5552433333333333333333333333,0.6776735,0,0.2379614285714285714285714286,BENIGN
72.089,1,1,78,78,78,78,78,78,78,78,2163.991732441842722190625477,27.74348374925439387423878816,28,28,13.87174187462719693711939408,13.87174187462719693711939408,78,78,78,0,0,0,0,0,0.0360445,BENIGN
5484.536,7,7,502,1331,78,70,71.71428571428571,262,117,190.14285714285714,334.2124110407881359517012925,2.552631617332806275681297379,196,196,1.276315808666403137840648689,1.276315808666403137840648689,70,262,130.92857142857142,66.82649633375146,4465.780612244898,0.9103721666666666666666666667,0.9091951666666666666666666667,0,0.3917525714285714285714285714,BENIGN
1169.915,2,2,148,246,78,70,74,168,78,123,336.7766034284542039378929238,3.419051811456387857237491613,56,56,1.709525905728193928618745806,1.709525905728193928618745806,70,168,98.5,40.258539466801324,1620.75,1.080741,1.141214,0,0.29247875,BENIGN
39372.041,8,2,433,120,55,54,54.125,66,54,60,14.04549995261866155224211008,0.2539873409153465018488627501,320,80,0.2031898727322772014790902001,0.05079746818306930036977255002,54,66,55.3,3.579106033634656,12.809999999999999,5.574061,9.254824,0,3.9372041,BENIGN
46370.777,42,191,6347,244326,1434,54,151.11904761904762,1434,54,1279.193717277487,5405.839975465582558601508877,5.024716320798333829946390590,1680,7640,0.9057428561095709049688772737,4.118973464688762924977513316,54,1434,1075.8497854077252,589.2371868900648,347200.4624141171,1.129024682926829268292682927,0.2433867473684210526315789474,0,0.1990162103004291845493562232,BENIGN
58033.076,151,139,17093,24059,841,77,113.19867549668874,1514,69,173.0863309352518,709.1128514366531251936395720,4.997150245835667921514275755,4228,3892,2.601964438348916745340191859,2.395185807486751176174083897,69,1514,141.90344827586208,226.11996584474056,51130.23895362664,0.3862006066666666666666666667,0.4200943260869565217391304348,0,0.2001140551724137931034482759,BENIGN
46319.68,33,209,5956,279210,1434,54,180.4848484848485,1434,54,1335.933014354067,6156.476037831004013844655231,5.224561136864503381715935861,1320,8360,0.7124401550269777338703548902,4.512120981837525647845580971,54,1434,1178.3719008264463,517.77114719085,268086.9608633289,1.445051594,0.222299438,0,0.1914036363636363636363636364,BENIGN
17096.792,260,143,319241,15317,1434,54,1227.85,1029,54,107.1118881118881,19568.46641171045421854579502,23.57167356308715693564032363,10400,5720,15.20753133102397221654214428,8.364142232063184719098179354,54,1434,830.1687344913151,639.7082471751147,409226.6415038576,0.06601077992277992277992277992,0.1177970211267605633802816901,0,0.04242380148883374689826302730,BENIGN
45452.336,7,8,2680,1537,1434,54,382.85714285714283,1095,54,192.125,92.77850977780327946180807957,0.3300160414197413307866068754,280,320,0.1540074859958792877004165418,0.1760085554238620430861903335,54,1434,281.1333333333333,422.28724294673594,178326.51555555558,7.5545595,6.474219714285714285714285714,0,3.030155733333333333333333333,BENIGN
38134.047,17,10,5234,5386,1434,54,307.88235294117646,1354,54,538.6,278.4912915222451999390465953,0.7080287072599454235738472762,680,400,0.4457958527192248963242742109,0.2622328545407205272495730652,54,1434,393.3333333333333,492.5498282745953,242605.33333333334,2.383377938,1.608198444444444444444444444,0,1.412372111111111111111111111,BENIGN
45115.961,2,2,110,132,55,55,55,66,66,66,5.363955341658354567688361997,0.08866041887038602591220433053,80,80,0.04433020943519301295610216526,0.04433020943519301295610216526,55,66,60.5,5.5,30.25,45.059586,45.063673,0,11.27899025,BENIGN
45106.369,2,2,110,132,55,55,55,66,66,66,5.365096002296261088982799746,0.08867927276522745601624462390,80,80,0.04433963638261372800812231195,0.04433963638261372800812231195,55,66,60.5,5.5,30.25,45.053686,45.059056,0,11.27659225,BENIGN
45106.372,2,2,110,132,55,55,55,66,66,66,5.365095645466675972077736600,0.08867926686721778466244192727,80,80,0.04433963343360889233122096364,0.04433963343360889233122096364,55,66,60.5,5.5,30.25,45.053696,45.05649,0,11.276593,BENIGN
45106.264,2,2,110,132,55,55,55,66,66,66,5.365108491361643252032578003,0.08867947919606021904186079344,80,80,0.04433973959803010952093039672,0.04433973959803010952093039672,55,66,60.5,5.5,30.25,45.053632,45.053969,0,11.276566,BENIGN
58194.477,55,26,3025,1716,55,55,55,66,66,66,81.46821218102879419296095745,1.391884662869295998656367339,2200,1040,0.9451068698495219743962988103,0.4467777930197740242600685285,55,66,58.53086419753087,5.1354166521748,26.37250419143423,1.075273462962962962962962963,2.28313676,0,0.7184503333333333333333333333,BENIGN
45094.083,2,2,110,132,55,55,55,66,66,66,5.366557736632542233977792608,0.08870343366334780552029409269,80,80,0.04435171683167390276014704634,0.04435171683167390276014704634,55,66,60.5,5.5,30.25,45.049716,45.045283,0,11.27352075,BENIGN
45090.722,2,2,110,132,55,55,55,66,66,66,5.366957752417448538526395741,0.08871004549450328162853546679,80,80,0.04435502274725164081426773339,0.04435502274725164081426773339,55,66,60.5,5.5,30.25,45.049643,45.044417,0,11.2726805,BENIGN
45126.341,2,2,110,132,55,55,55,66,66,66,5.362721520009787631574206293,0.08864002512412872118304473212,80,80,0.04432001256206436059152236606,0.04432001256206436059152236606,55,66,60.5,5.5,30.25,45.070973,45.067933,0,11.28158525,BENIGN
45528.272,23,77,3882,95481,1434,54,168.7826086956522,1434,54,1240.012987012987,2182.446107333043520738059200,2.196437413658045269102240472,920,3080,0.5051806051413504118935153085,1.691256808516694857208725163,54,1434,993.63,622.8139795316094,387897.2531,2.065914454545454545454545455,0.5975648684210526315789473684,0,0.45528272,BENIGN
