Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
2070.317000,20,27,5771,13303,1454,54,288.55,1454,60,492.7037037037037,9213.081861376784328197082862,22.70183744808162228296439627,800,1080,9.660356360885796716155062244,13.04148108719582556680933403,54,1454,405.82978723404256,523.9198541578719,274492.01358080574,0.1089640526315789473684210526,0.0782685,0.0,0.04404929787234042553191489362,BENIGN
120.030000,9,10,4113,6468,1454,54,457.0,1454,60,646.8,88152.96175956010997250687328,158.2937598933599933349995834,360,400,74.98125468632841789552611847,83.31250520703157543947346497,54,1454,556.8947368421053,588.4279587204181,346247.4626038781,0.01500375,0.009848444444444444444444444444,0.0,0.006317368421052631578947368421,BENIGN
119.982000,9,10,4112,6468,1454,54,456.8888888888889,1454,60,646.8,88179.89365071427380773782734,158.3570868963677885016085746,360,400,75.01125168775316297444616693,83.34583520861462552716240769,54,1454,556.8421052631579,588.4647521669724,346290.7645429363,0.01499775,0.009919444444444444444444444444,0.0,0.006314842105263157894736842105,BENIGN
119.468000,9,10,4016,6468,1454,54,446.22222222222223,1454,60,646.8,87755.71701208691867278266984,159.0384035892456557404493253,360,400,75.33398064753741587705494358,83.70442294170823986339438176,54,1454,551.7894736842105,587.7629829274067,345465.324099723,0.0149335,0.009424111111111111111111111111,0.0,0.006287789473684210526315789474,BENIGN
44.996000,5,5,2393,554,1454,54,478.6,308,60,110.8,65494.71064094586185438705663,222.2419770646279669303938128,200,200,111.1209885323139834651969064,111.1209885323139834651969064,54,1454,294.7,430.128829538314,185010.81,0.00794725,0.007491,0.0,0.0044996,BENIGN
209.354000,6,6,1349,4146,522,54,224.83333333333334,1454,60,691.0,26247.40869531988880078718343,57.31918186421085816368447701,240,240,28.65959093210542908184223851,28.65959093210542908184223851,54,1454,457.9166666666667,493.6647746418841,243704.90972222222,0.0418708,0.0153672,0.0,0.01744616666666666666666666667,BENIGN
1215.477000,8,10,1126,7500,539,54,140.75,1454,60,750.0,7096.802325342231897436150581,14.80900091075355601134369470,320,400,6.581778182557136005041642088,8.227222728196420006302052610,54,1454,479.22222222222223,558.3452292817844,311749.3950617284,0.1718242857142857142857142857,0.08832044444444444444444444444,0.0,0.0675265,BENIGN
941.950000,31,33,11509,24353,1292,79,371.258064516129,1514,69,737.969696969697,38072.08450554700355645204098,67.94415839481925792239503158,868,924,32.91045172249057805616009342,35.03370667232867986623493816,69,1514,560.34375,591.9683062343266,350426.4755859375,0.03139833333333333333333333333,0.02727015625,0.0,0.01471796875,BENIGN
135.232000,6,6,1012,3220,730,54,168.66666666666666,1446,60,536.6666666666666,31294.36819687647893989588263,88.73639375295787979176526266,240,240,44.36819687647893989588263133,44.36819687647893989588263133,54,1446,352.6666666666667,522.0142611930146,272498.8888888889,0.0270464,0.0178324,0.0,0.01126933333333333333333333333,BENIGN
153.117000,13,19,5265,9884,1454,54,405.0,1454,60,520.2105263157895,98937.41387305132676319415872,208.9905105246314909513639896,520,760,84.90239490063154319899162079,124.0881156239999477523723688,54,1454,473.40625,573.2968177226676,328669.2412109375,0.01275975,0.006856555555555555555555555556,0.0,0.00478490625,BENIGN
3.754000,1,1,76,450,76,76,76.0,450,450,450.0,140117.2083111347895578050080,532.7650506126798082045817794,28,28,266.3825253063399041022908897,266.3825253063399041022908897,76,450,263.0,187.0,34969.0,0,0,0.0,0.001877,BENIGN
0.078000,1,1,60,54,60,60,60.0,54,54,54.0,1461538.461538461538461538462,25641.02564102564102564102564,40,40,12820.51282051282051282051282,12820.51282051282051282051282,54,60,57.0,3.0,9.0,0,0,0.0,0.000039,BENIGN
