Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Fwd IAT Mean,Bwd IAT Mean,Active Mean,Idle Mean,Label
15036.494000,5,0,330,0,66,66,66.0,0,0,0.0,21.94660537223637371850113464,0.3325243238217632381591081006,200,0,0.3325243238217632381591081006,0E+6,66,66,66.0,0.0,0.0,3.7591235,0,0.0,3.0072988,BENIGN
21.397000,1,1,55,66,55,55,55.0,66,66,66.0,5654.998364256671496004112726,93.47104734308547927279525167,40,40,46.73552367154273963639762584,46.73552367154273963639762584,55,66,60.5,5.5,30.25,0,0,0.0,0.0106985,BENIGN
32.033000,2,3,108,205,54,54,54.0,85,60,68.33333333333333,9771.173477351481284924921175,156.0890331845284550307495395,80,120,62.43561327381138201229981581,93.65341991071707301844972372,54,85,62.6,11.516944039110374,132.64,0.012911,0.009606,0.0,0.0064066,BENIGN
139.101000,2,2,154,160,100,54,77.0,100,60,80.0,2257.352571153334627357100237,28.75608370895967678161911129,80,80,14.37804185447983839080955565,14.37804185447983839080955565,54,100,78.5,21.6043977004683,466.75,0.139101,0.000002,0.0,0.03477525,BENIGN
22.128000,1,1,55,66,55,55,55.0,66,66,66.0,5468.185104844540853217642805,90.38322487346348517715112075,40,40,45.19161243673174258857556038,45.19161243673174258857556038,55,66,60.5,5.5,30.25,0,0,0.0,0.011064,BENIGN
28.594000,2,1,108,60,54,54,54.0,60,60,60.0,5875.358466811219136881863328,104.9171154787717703014618451,80,40,69.94474365251451353430789676,34.97237182625725676715394838,54,60,56.0,2.8284271247461903,8.0,0.028594,0,0.0,0.009531333333333333333333333333,BENIGN
21.251000,1,1,55,66,55,55,55.0,66,66,66.0,5693.849701190532210248929462,94.11321820149640016940379276,40,40,47.05660910074820008470189638,47.05660910074820008470189638,55,66,60.5,5.5,30.25,0,0,0.0,0.0106255,BENIGN
21.168000,1,1,55,66,55,55,55.0,66,66,66.0,5716.175359032501889644746788,94.48223733938019652305366591,40,40,47.24111866969009826152683296,47.24111866969009826152683296,55,66,60.5,5.5,30.25,0,0,0.0,0.010584,BENIGN
55.975000,2,1,108,60,54,54,54.0,60,60,60.0,3001.339883876730683340777133,53.59535506922733363108530594,80,40,35.73023671281822242072353729,17.86511835640911121036176865,54,60,56.0,2.8284271247461903,8.0,0.055975,0,0.0,0.01865833333333333333333333333,BENIGN
81.188000,2,2,147,153,93,54,73.5,93,60,76.5,3695.127358722963984825343647,49.26836478297285313100458196,80,80,24.63418239148642656550229098,24.63418239148642656550229098,54,93,75.0,18.12456896039186,328.5,0.081188,0.000000,0.0,0.020297,BENIGN
109.539000,2,1,147,93,93,54,73.5,93,93,93.0,2191.000465587598937364774190,27.38750581984498671705967738,80,40,18.25833721322999114470645158,9.129168606614995572353225792,54,93,80.0,18.384776310850235,338.0,0.109539,0,0.0,0.036513,BENIGN
124.464000,2,2,147,153,93,54,73.5,93,60,76.5,2410.335518704203625144620131,32.13780691605604833526160175,80,80,16.06890345802802416763080087,16.06890345802802416763080087,54,93,75.0,18.12456896039186,328.5,0.124464,0.000002,0.0,0.031116,BENIGN
102.974000,2,2,154,160,100,54,77.0,100,60,80.0,3049.313418921281100083516227,38.84475692893351719851613029,80,80,19.42237846446675859925806514,19.42237846446675859925806514,54,100,78.5,21.6043977004683,466.75,0.102974,0.000003,0.0,0.0257435,BENIGN
13041.413000,18,17,3562,1797,1454,54,197.88888888888889,624,60,105.70588235294117,410.9217306437576971145687971,2.683758270672050643592070890,720,680,1.380218539202768902418779315,1.303539731469281741173291575,54,1454,153.11428571428573,275.2424148614735,75758.3869387755,0.7628065294117647058823529412,0.8134125,0.0,0.3726118,BENIGN
94.873000,2,2,154,160,100,54,77.0,100,60,80.0,3309.687687750993433326657742,42.16162659555405647549882474,80,80,21.08081329777702823774941237,21.08081329777702823774941237,54,100,78.5,21.6043977004683,466.75,0.094873,0.000003,0.0,0.02371825,BENIGN
90.946000,2,3,245,323,191,54,122.5,185,60,107.66666666666667,6245.464341477360191762144569,54.97767906230070591339915994,80,120,21.99107162492028236535966398,32.98660743738042354803949596,54,191,113.6,61.28817177890036,3756.2399999999993,0.090946,0.0263595,0.0,0.0181892,BENIGN
7023.236000,4,0,264,0,66,66,66.0,0,0,0.0,37.58951002073687969477317863,0.5695380306172254499208057368,160,0,0.5695380306172254499208057368,0E+6,66,66,66.0,0.0,0.0,2.341078666666666666666666667,0,0.0,1.755809,BENIGN
7018.746000,4,0,264,0,66,66,66.0,0,0,0.0,37.61355660968497791485829520,0.5699023728740148168917923515,160,0,0.5699023728740148168917923515,0E+6,66,66,66.0,0.0,0.0,2.339582,0,0.0,1.7546865,BENIGN
3028.885000,3,0,198,0,66,66,66.0,0,0,0.0,65.37059016766896069015495801,0.9904634873889236468205296669,120,0,0.9904634873889236468205296669,0E+6,66,66,66.0,0.0,0.0,1.5144425,0,0.0,1.009628333333333333333333333,BENIGN
3025.154000,3,0,198,0,66,66,66.0,0,0,0.0,65.45121339277273157002916215,0.9916850514056474480307448811,120,0,0.9916850514056474480307448811,0E+6,66,66,66.0,0.0,0.0,1.512577,0,0.0,1.008384666666666666666666667,BENIGN
